	TH03_0106_S01	TH34_1150_S01	TH34_1150_S02	TH34_1162_S01	TH27_1168_S01	TH06_1171_S01	TH34_1240_S01	TH27_1266_S01	TH27_1270_S01	TH27_1358_S01	THR31_1384_S01	TH03_0014_S01	TH27_1406_S01	TH03_0157_S01	TH06_0615_S01	TH27_0691_S01	TH27_0696_S01	THR30_0804_S01	THR30_0805_S01	THR30_0806_S01	THR30_0807_S01	THR30_0808_S01	THR30_0809_S01	THR30_0810_S01	THR30_0811_S01	THR30_0812_S01	THR30_0813_S01	THR30_0814_S01	THR30_0815_S01	THR30_0816_S01	THR30_0817_S01	THR30_0818_S01	THR30_0819_S01	THR30_0820_S01	THR30_0821_S01	THR30_0822_S01	THR30_0823_S01	THR30_0824_S01	THR30_0825_S01	THR30_0826_S01	THR30_0827_S01	THR30_0828_S01	THR30_0829_S01	THR30_0830_S01	THR30_0831_S01	THR30_0832_S01	THR30_0833_S01	THR30_0834_S01	THR30_0835_S01	THR30_0836_S01	THR30_0837_S01	THR30_0838_S01	THR30_0839_S01	THR30_0840_S01	THR30_0841_S01	THR30_0842_S01	THR30_0843_S01	THR30_0844_S01	THR30_0845_S01	THR30_0846_S01	THR30_0847_S01	THR30_0848_S01	THR30_0849_S01	THR30_0850_S01	THR30_0851_S01	THR30_0852_S01	THR30_0853_S01	THR30_0854_S01	THR30_0855_S01	THR30_0856_S01	THR30_0857_S01	THR30_0858_S01	THR30_0859_S01	THR30_0860_S01	THR30_0861_S01	THR30_0862_S01	THR30_0863_S01	THR30_0864_S01	THR30_0865_S01	THR31_0906_S01	THR31_0937_S01	THR32_0947_S01
Megakaryocytes	0.0121	0	0	0.0046	0.008	0	0.0063	0.0112	0.0061	0	0.0131	0.0039	0	0	0.0124	1e-04	0.0149	0	0.006	0	0	0.0192	0.0019	0.0011	0.0012	0.0095	0	0.001	0	0.0031	5e-04	8e-04	0.0043	0.0094	0.0076	0.0105	0	0	0.0299	0.0022	0	0.0108	0.0054	0	0	0.001	0.0049	0.0143	0.0033	0.0042	0.007	0.0089	0.039	0.016	0	0.0318	0	0.0056	0	0.0045	0.012	0.0154	0.0115	0.0045	0	0.0186	0.0247	0	0.0125	0.011	0	0.0101	0.0053	0.0051	0.0147	0	3e-04	0.004	0	0.0213	0.0247	0
Melanocytes	0.0018	0.0027	4e-04	0.0222	0.0083	0.0071	0.0036	0.0062	9e-04	0.0022	0.0079	0.0035	2e-04	0.009	0.0019	0.0068	0	0.0018	0.0015	0.0035	0.0119	0.0052	0.0116	0	0.0137	0.0138	0.0054	0.0025	0.0017	0.0017	0.0018	0.0063	0.0065	0	0.044	0.009	8e-04	0.0054	0.0428	0.0047	0.0045	0.0044	0.0026	0.0018	0	0.0026	0	0.0071	0.0031	0	0.0036	0.0041	0.0024	0.0044	0.0031	0	0.0251	0	0.0094	0.007	0.1096	0.005	0.003	0	0.0076	0.0082	0.0045	0.0079	0.0095	0.0038	0.0026	0.0071	0.0068	0.0025	0.0036	0.0157	0.0141	0	0	0	0.0605	0.0037
Memory B-cells	0.0107	0.0268	0.007	0	0	0	0.0292	0.013	0	0.0378	0	0	0	0	0	0.011	0.033	0	0	0	0.0182	0	0	0	0	0.0018	0.0046	0.0194	0.0077	0	0	0	0	0	0.0268	0	0.004	0.0143	0	0	0	0	0.0052	0	0	0	0	0	0.0169	0.0946	0	0	0	0	0	0	0.0159	0	0	0.0765	0	0.0082	0	0	0.0028	0	0	0	0	0	0	0	0.0315	0	0	0	0	0	0	0	0	0
Mesangial cells	0.0449	0.0306	0.0081	0.0337	0.0373	0	0.0102	0.0428	0.0238	0.0205	0.0113	0.0453	0.0437	0	0.0156	0	0.023	0.014	0	0.0246	0.0029	0.0418	0.0784	0.0279	0.0541	0	0.0276	0	0.0546	0.0163	0	0.0088	0.0047	0.0202	0.0543	0	0.0274	0.0405	0.0371	0.0029	0.0208	0.062	0	0.0533	0.0126	0.0162	0.0217	0.0093	0	0	0	0	0.0132	0	0.0129	0.0502	0	0.0243	0.0226	0.0025	0.0582	0.0411	0	0.0102	0.0188	0	0.0022	0.0253	0.0379	0.031	0.0032	0.0114	0.028	0	0	0.0078	0	0.0323	0.009	0.0422	0.0729	0
Monocytes	0	0	0	0.0834	0	0	0	0	0	0	0	0.0258	0	0	0	0.0479	0	0	0	0	0	0	0	0	0.1078	0	0	0	0	0	0	0	0	0	0.2449	0	0	0	0.0856	0	0	0.0148	0	0	0	0	0	0	0	0.0158	0	0	0	0	0	0	0.0026	0	0	0	0.313	0	0	0	0	0	0	0	0.0078	0	0	0.0485	0	0	0	0	0	0	0	0	0.0098	0
Myocytes	0.3484	0	0.0082	0.0022	0.3531	0	0.2825	0.0171	0.09	0.007	0.225	0.0029	0.0139	0.0101	0.3121	0.0191	0.0248	0.0022	4e-04	0.3234	0.3009	0.0197	0.015	0.0058	0	0.0069	0.0181	0.0191	0.0146	0.0272	0.0228	0	0.0111	0.0081	0.0017	0.0172	0.024	0.0103	0.0032	0.0349	0.0106	0.4024	0.104	0.0103	0.0501	0.0255	0.3397	0.3253	0.0135	0.3094	0.1864	0.0227	0.0028	0.0096	0.0077	0.436	2e-04	0.0236	0.0158	0	0	0.0141	0.0055	0.178	0.0018	0.0533	0.0156	0.1689	0.001	0.0279	0.0114	0	0.0116	0.0088	0.0031	0	0.0337	0.0115	0.0123	0.0015	0.1835	0.0108
NK cells	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0747	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0013	0	0	0	0	0
NKT	0.0357	0.0205	0	0.0062	0.1301	0.2083	0.0613	0.0015	0.0022	0.0478	0.1284	0.1317	0	0	0.0169	0	0.1372	0	0	0	0.1263	0.0231	0.0167	0.059	0	0.005	0.0551	0.0166	0.0169	0.0065	0.0528	0.0127	0.1059	0	0.0289	0.1771	0	0.0631	0	0.0259	0.033	0	0	0.0084	0	0	0	0.0093	0	0.021	0.15	0.0136	0.0057	0.0212	0.0296	0.0321	0	0.0802	0.072	0.1177	0	0.1508	0.102	0.0213	0.0238	0.0215	0.1121	0	0	0	0.1282	0	0	0	0.0048	0.0963	0.0025	0	0	0.1898	0	0
Neurons	0.0327	0.0341	0.0393	0.0173	0.0334	0.0284	0.0064	0.0541	0.0179	0.0388	0.0011	0.0125	0.0652	0.016	0.0251	0.0127	0.0292	0.0349	0.0345	0.0231	0.0208	0.029	0.034	0.0192	0	0.0098	0.0183	0.0141	0.0184	0.0213	0.019	0.0251	0.0306	0.0132	0.0061	0.0198	0.028	0.0046	7e-04	0.0179	0.0188	0.0117	0.0142	0.0254	0.0246	0.021	0.0325	0.0275	0.0177	0.0102	0.0184	0.0128	0.0291	0.0148	0.0221	0.0225	3e-04	0.0301	0.0219	0.0216	0	0.0263	0.0201	0.0141	0.0175	0.001	0.0135	0.0375	0.0124	0.0151	0.0288	0.0319	0.018	0.0512	0.1148	0.1147	4e-04	0.0164	0.0457	0.0203	0.0064	0.019
Neutrophils	0	0	0	0	0	0	0	0	0.0069	0	0	3e-04	0	0	0.0027	0.0286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0015	0	0	0.0345	0	0	0	0	0.001	0	0	0.0039	0	0.0061	0.0285	0.0081	0	0	0.0022	0	0	7e-04	0	0	0
Osteoblast	0.0646	0	0.0163	0.0201	0	0.0152	0	0.0625	0.0714	0	0	0.0667	0.0344	0.044	0.0468	0.0343	0.1026	0.0844	0.065	0.0528	0.0268	0.0135	0.0545	0.0909	0	0.0373	0.0811	0.003	0.0758	0.0685	0.0045	0	0.0454	0.0396	0	0.0624	0.1129	0.0439	0.0161	0.0657	0.0725	0	0.0586	0.1043	0.0509	0.0625	0.0058	0	0.0726	0	0.0592	0.0366	0.0379	0.0319	0.0655	0	0.0045	0.1112	0.0543	0.0644	0	0.0684	0.0741	0.0361	0.0311	0.0354	0.0793	0.0368	0.0408	0.079	0	0.072	0.0312	0.0294	0	0	0.043	0.055	0.0454	0.0526	0	0.0318
Pericytes	0.0083	0.0113	0	0.0095	0	0.0608	0.0415	0	0.1175	0.0275	0	0.0199	0.0638	0	0.1586	0.0504	0	0.0105	0.1978	0	0.0055	0.11	0	0.0267	0.0286	0.0145	0.0183	0	0	0.038	0.0111	0.1001	0	0.1392	0.0632	0	0	0	0.0837	0	0.0061	0.0425	0.0778	0	0.0682	0.0132	0.0208	0	0.023	0	0.016	0.0218	0	0	0.0129	0.117	0	0	0.0123	0	0.0212	0.0607	0.0061	0.0673	0.0524	0.1326	0.0213	0	0.1784	0.0144	0.0205	0.1111	0.0034	0.0268	0.2086	0.0805	0	0.0052	0.0665	0.1218	0	0
Plasma cells	0.0343	0.0063	0.0116	0	0.0131	0.0104	0.0277	0.0171	0.0076	0.05	0	0.0077	0.0268	0.0048	0	0.0142	0.0248	0.002	0	0	0.0141	0.0078	0.0021	0.016	0	0.015	0.0229	0.0281	0.0148	0.012	0.0227	0.0014	0	6e-04	3e-04	0.0234	0.0062	0.0172	0.0038	0	0.0158	0.0054	0.0429	7e-04	0.0041	0.0054	0	0.0087	0.0185	0.0066	0.0131	0	0.0063	0.0051	0.0239	0	0.0499	0.0318	0	0.0202	0	0.0264	0.0093	0.0152	0.034	0.0066	0.0192	0.0242	0.0023	0.0078	0.0119	0.015	0.057	0.0036	0	0.0087	0.022	0.0128	0	3e-04	0.0081	0.0271
Platelets	0	0	0	0	0	0	0	0	0	0	0	0.0018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0089	0	0	0	0	0	0	0	0	0	0	0.0174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0101	0	0	0.0192
Preadipocytes	0.0175	0	0	0	0	8e-04	0	0	0.0377	0	0.0409	0	0	0.061	0	0.0676	0	0.007	0	0	0	0	0	0.0723	0	0	0	0.0033	0	0	0	0.0902	0	0.0779	0.0404	0.009	0	0.0952	0.0866	0.0897	0.0228	0	0.0405	0.0022	0	0	0	0	0	0	0	0	0	0	0.041	0.0054	0.0842	0.009	0.0494	0	0	0.0498	0	0	0	0.2522	0.1334	0	0.011	0.0782	0.0161	0	0	0	0	0	0.1322	0.0014	0.0082	0.139	0.0234	0
Sebocytes	0.0196	0.0306	0.0294	0.0786	0.0142	0.03	0.013	0.0299	0.0511	0.0313	0.0021	0.0303	0.0492	0.0401	0.0213	0.019	0.0282	0.0328	0.0187	0.013	0.024	3e-04	0.0182	0.0358	0.0172	0.005	0.0281	0.0146	0.0259	0.0352	0.0104	0.0129	0.0275	0.0152	0.0283	0.0331	0.0098	0.0167	0.0019	0.0203	0.0012	0.0203	0.0228	0.0112	0.0173	0.0345	0.0183	0.0354	0	0.0127	0.0074	0.0056	0.0244	0.0018	0	0.0263	0	0.0093	0.0281	0	0.0239	0.0198	0.0336	0.001	0.0167	0	0.015	0.0214	0.0244	0.0211	0.0082	0.0093	0.0463	0	0.0298	0.0157	6e-04	0.008	0.0086	0.012	0.0083	0.0345
Skeletal muscle	0.4635	0	0	0	0.4305	0	0.2878	0.0045	0.0179	0.0065	0.2601	0	0	0.0015	0.427	0.0013	0	0.0019	0.0011	0.2281	0.2008	0	0	0	0	0	0.0023	0	0	0.002	0	0.0048	0	0	0	0	0.0017	0.0032	0.0094	0	0.0019	0.3882	0.0234	0.0022	0	0	0.2983	0.3314	0	0.3079	0.1034	0	8e-04	0	0.0026	0.5642	0.0148	0	6e-04	0	0	0	0	0.1006	0	0.0216	0	0.0897	0.0111	0.0044	0	0.0021	0	0	0	0	0.0442	0	0	0	0.1141	0
Smooth muscle	0.1217	0	0	0	0	0.0317	0	0.0874	0.0618	0	0	0.1132	0.0856	0.0678	0	0.0843	0.1139	0.0824	0.1643	0.1503	0.0965	0	0.1095	0.0472	0	0.0779	0.0667	0	0.1151	0.004	0	0.0033	0.0303	0.0417	0	0.0133	0.1568	0.0334	0.0537	0.1343	0.029	0.1049	0.1331	0.1699	0.165	0.0884	0.071	0.0398	0.2356	0.0957	0.0924	0.0921	0.0925	0.1022	0.036	0.0648	0.0223	0.1944	0.0822	0.1311	0	0.0892	0.1385	0.0902	0.0103	0.2192	0.099	0.0602	0.0055	0.1533	0	0.1493	0.1619	0.0924	0	0	0.029	0.1485	0.2261	0.118	0	0.0844
Tgd cells	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Th1 cells	0	8e-04	0	0	0.0337	0.0042	0.0338	0	0	0.0592	0.0592	0	0	0.0146	0.0194	0.0175	9e-04	0	0.0034	0	0	0.0022	0	0	0.038	0.0015	0	0.0197	0	0.0252	0.0445	0.0582	0.0132	0	0	0.0108	0	0	0	0	0.003	0	0	0	0	0	0	0	0.0127	0	0.0128	0.0118	0.0148	0	0	0	0.014	0	0	0	0	0.0145	0.002	0.0016	0	0.0014	0	0	0	0	0	0	2e-04	0	0.0042	0.0168	0	0	0	0.0163	0	0.0084
Th2 cells	0.2321	0.007	0.1139	0.1847	0	0.0377	0.2608	0.0515	0.1116	0.1097	0.0102	0.1528	0.2831	0.0409	0.1876	0.1618	0.0612	0.0724	0.3318	0.0942	0.0063	0.1223	0.0586	0.2227	0.2246	0.2001	0.2261	0.1589	0.0963	0.2606	0.0043	0	0.096	0.0972	0.0429	0.0172	0.2691	0.2725	0.011	0.119	0.2981	0.1085	0.0526	0.2256	0.2324	0.1385	0.2474	0	0.1006	0.074	0.1301	0.211	0.0931	0.2594	0.1036	0.0519	0.2894	0.2003	0.0039	0.0834	0	0.0774	0.0324	0.2357	0	0.0711	0.0299	0.1105	0.1139	0.0905	0.1576	0.0648	0.1666	0.0855	0.0799	0	0.1795	0.098	0.231	0	0.1052	0.1392
Tregs	0	0	0	0.0052	0	0	0	0	0	0.0932	0	0.0701	0	0	0	0.0071	0	0	0	0	0	0	0	0.065	0.0419	0	0	0	0	0	0.0438	0.0135	0	0	0	0.0196	0.1087	0	0.0495	0.0725	0	0.0205	0	0	0	0.0133	0	0	0	0.0466	0	0	0.1135	0	0	0	0	0	0.009	0.0131	0.0395	0	0	0	0.007	0.0075	0	0	0.0104	0.0447	0	0	0	0	0.0242	0.0331	0.0293	0	0.2018	0.0816	0	0
aDC	0.2091	0.1344	0.1201	0.4063	0.4754	0.2459	0.1631	0.0202	0.3747	0.4377	0	0.342	0.1846	0.2608	0.2213	0.2399	0.2907	0.0616	0	0.2268	0.1915	0.3043	0.3596	0.1879	0.2733	0.1263	0.0459	0.0358	0.2107	0.0143	0.1038	0.1474	0.0312	0.2072	0.3076	0.0787	0.0238	0.0313	0.3667	0	0.0291	0.2435	0.1634	0.1724	0.1756	0	0.3317	0.3213	0.0289	0.7934	0.0101	0.0216	0.2412	0.0424	0.0486	0.3561	0.0348	0.1884	0.2292	0.6068	0.6198	0.0727	0.0458	0.146	0.1117	0.2358	0	0.2779	0.6117	0.0044	0.0372	0.1126	0.3011	0.0387	0.1664	0.3265	0.0708	0.0459	0	0.244	0.1702	0.0094
cDC	0.0136	0.0719	0.0242	0.0514	0.1095	0.091	0.0137	0.0136	0.2249	0.0258	0	0.0434	0.0627	0.0765	0.1251	0.08	0.0212	0.0455	0.2514	0.1601	0.1717	0.0893	0.1246	0.197	0.1401	0.0056	0.2376	0.0635	0.3255	0.1369	0.036	0.1034	0.0147	0.012	0.2527	0	0.1631	0.1171	0	0.0452	0.0369	0.0485	0.0047	0.0156	0.1225	0.0918	0.0692	0.1416	0.0529	0.0208	0.0799	6e-04	0.0517	0.1753	0.0157	0.0572	0.0018	0.1712	0.0142	0.4305	0.3351	0.2191	0.0499	0.1112	0.0113	0.0085	0.0304	0.0463	0.1887	0.0447	0.173	0.0267	0.0404	0.082	0	0.0988	0	0.0361	0.173	0.0302	0.303	0.0165
iDC	0.0105	0.3323	0.2213	0.6313	0.41	0.0219	0.3243	0.0716	0.4923	0.1792	0.0631	0.124	0.0695	0	0.4408	0.5308	0.096	1e-04	0.0291	0.0415	0	0.0966	0.0495	0	1.605	0	0	0.0025	0.4172	0	0	0.0283	0	0.2868	2.1013	0	0.0887	0.0265	0.9236	0.0056	0	0.347	0.0689	0	0.0676	0.0092	0.014	0.1537	0.225	0.5732	0.0012	0.0359	0.0828	0.126	0.0129	0.0959	0.0643	0	0	0	1.4788	0.3264	0.0525	0.0265	0	0.0404	0.0093	0.2644	0.5179	0.0318	0.0047	0.0981	0.074	0	0.3198	0.6286	0.0061	0.0444	0.3054	0.4353	0.2666	0
ly Endothelial cells	0.0133	0	0	0.0195	0.0214	0	0.0224	0.0031	0.0362	0.0027	0.0425	0.002	0.0061	0	0.0282	2e-04	5e-04	0	0.0021	0	0	0.0705	0.0036	0.0029	0.0166	0	0	0	0.0027	0	0	0.0356	0	0.0393	0.0927	0	0	0	0.0567	0	0	0.0136	0.0034	0.0029	0	0.0027	0.0125	0.0058	0.0012	0.0022	0	0	0.0139	4e-04	0	0.1082	0.0189	0.0055	0	0	0.0105	0.0018	7e-04	0	9e-04	0.0028	0	0	0.0452	0.0118	0.0025	0	0	0	0.0136	0.0014	0.0132	0	0	0.0208	0.0775	0
mv Endothelial cells	0.0174	0	0	0.0455	0.0194	0.0012	0.0314	0.0087	0.0594	0.0054	0.0458	0.0058	0.0119	0.0025	0.0449	0.0056	0.0015	0.0078	0.0071	0.0077	0	0.0707	0.0016	0.0206	0.0357	0.0064	0.003	0.0016	0.0171	0.0046	0	0.0613	0.0122	0.0664	0.1213	0	0	0	0.0676	3e-04	0.0035	0.023	0.0207	0.011	0.0017	0.0027	0.0213	0.0084	0	0.0056	0	0	0.0167	0.0063	0	0.1066	0.0342	0.0064	0	0.0024	0.0209	0.0169	0.009	0.0118	0.0057	0.0161	0	0	0.0696	0.0288	0.0012	0.0161	0.0015	0.0023	0.0333	0.0068	0.0397	0.0019	0	0.0337	0.0823	0.0025
naive B-cells	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0014	0	0	0	0	0
pDC	0	0	0	0.0076	0	0	0	0	0	0.0363	0.1662	0.0099	0	0	0	0	0.002	0	0	0	0	0	0	0	0.0154	0	0	0	0	0.0336	0	0	0.0115	0	0.0198	0	0.0177	0	0.2104	0	0	0.002	0	0	3e-04	0.0149	0	0	0	0.0099	0.0145	0.0674	0	0	0	0.0683	0.3121	0	0	0.0359	0.1091	0.0153	0	0.001	0	0	0	0.0036	0	0	3e-04	0	0	0	0	0	0.2271	0.0035	0.0355	0.0487	0.014	0
pro B-cells	0.0933	0.0068	0.0577	0.0417	0	0	0.0527	0	0	0.0434	0	0.0333	0	0	0.0247	0.0464	0	0	0	0.05	0	0.0334	0	0	0.0356	0	0	0.0364	0	0.0635	0	0.0731	0.0318	0	0	0	0.0733	0.0778	0	0.0485	0.0331	0	0	0.0126	0	0	0.0213	0	0.0241	0.0218	0.0804	0	0.0047	0	0	0	0.0129	0	0	0.038	0	0	0	0.1023	0	0	0.0077	0	0	0	0.055	0.0592	0.0198	0	0	0.0523	0	0	0.0809	0	0	0.0104
ImmuneScore	0.0183	0.0087	0.0073	0.2291	0.0548	0.0169	0.0221	0.0072	0.0679	0.0314	0.0015	0.0517	0	0.0117	0.0431	0.0966	0.0181	0.0094	1e-04	0.016	0.0126	0.0019	0.0168	0.0047	0.2836	0.0015	0.0083	0.0084	0.0437	0.0105	0.0103	0.0033	0.0057	0.0125	0.4239	0.0077	0.0103	0.0097	0.1651	0.0147	0.0115	0.0345	0.0245	0.0178	0.0093	0.0089	0.0105	0.0221	0.0395	0.1549	0.0125	0.0053	0.0149	0.0158	0.0133	0.0079	0.0374	0.0189	0.0155	0.0387	0.6729	0.0221	0.0217	0.0013	0.0062	0.0144	0.0131	0.0506	0.0817	0.0012	0.0176	0.0519	0.0458	0.0018	0.0032	0.0487	0.0118	0.0211	0.0259	0.0258	0.0306	0.0161
StromaScore	0.038	0	0	0.0756	0.0201	0	0.0099	0.0234	0.0802	0.0164	0.0368	0.0162	0.0433	0.0052	0.0379	0.0085	0	0.0186	0.0531	0.043	0.006	0.0769	0.0592	0.0236	0.0247	0	0.008	0	0.0272	0.0034	0.0017	0.0707	0.0136	0.0928	0.0898	0	0.0175	0.0018	0.1136	0.0043	0.0017	0.0654	0.0388	0.0115	0.001	0.0305	0.0327	0.0296	1e-04	0.0034	0.0019	0.0331	0.0401	0.044	0.0338	0.1775	0.0445	0.0028	0.0557	0.0214	0.1092	0.0146	0.004	0.0034	0.0048	0.0977	1e-04	0.004	0.0746	0.0242	0	0.042	0.001	0.0052	0.0254	0.0098	0.0511	0.001	0.0034	0.0671	0.0676	0.0021
MicroenvironmentScore	0.0563	0.0087	0.0073	0.3047	0.0749	0.0169	0.032	0.0306	0.1481	0.0479	0.0383	0.0679	0.0433	0.0168	0.081	0.105	0.0181	0.028	0.0532	0.059	0.0186	0.0788	0.076	0.0284	0.3083	0.0015	0.0163	0.0084	0.071	0.0139	0.012	0.074	0.0194	0.1052	0.5137	0.0077	0.0278	0.0114	0.2787	0.019	0.0132	0.0999	0.0632	0.0292	0.0103	0.0394	0.0432	0.0517	0.0396	0.1583	0.0144	0.0384	0.055	0.0598	0.0471	0.1854	0.0819	0.0218	0.0712	0.0602	0.782	0.0367	0.0257	0.0047	0.0111	0.1121	0.0132	0.0546	0.1563	0.0254	0.0176	0.0939	0.0468	0.007	0.0286	0.0585	0.0629	0.0221	0.0293	0.0929	0.0982	0.0182
