	TARGET.40.0A4HMC.01A.01R	TARGET.40.0A4HX8.01A.01R	TARGET.40.0A4HXS.01A.01R	TARGET.40.0A4HY5.01A.01R	TARGET.40.0A4I0Q.01A.01R	TARGET.40.0A4I0W.01A.01R	TARGET.40.0A4I3S.01A.01R	TARGET.40.0A4I42.01A.01R	TARGET.40.0A4I48.01A.01R	TARGET.40.0A4I4E.01A.01R	TARGET.40.0A4I4M.01A.01R	TARGET.40.0A4I4O.01A.01R	TARGET.40.0A4I5B.01A.01R	TARGET.40.0A4I65.01A.01R	TARGET.40.0A4I6O.01A.01R	TARGET.40.0A4I8U.01A.01R	TARGET.40.0A4I9K.01A.01R	TARGET.40.PAKFVX.01A.01R	TARGET.40.PAKZZK.01A.01R	TARGET.40.PALECC.01A.01R	TARGET.40.PALHRL.01A.01R	TARGET.40.PALKDP.01A.01R	TARGET.40.PALKGN.01A.01R	TARGET.40.PALWWX.01A.01R	TARGET.40.PALZGU.01A.01R	TARGET.40.PAMHLF.01A.01R	TARGET.40.PAMHYN.01A.01R	TARGET.40.PAMJXS.01A.01R	TARGET.40.PAMLKS.01A.01R	TARGET.40.PAMRHD.01A.01R	TARGET.40.PAMTCM.01A.01R	TARGET.40.PAMYYJ.01A.01R	TARGET.40.PANGPE.01A.01R	TARGET.40.PANGRW.01A.01R	TARGET.40.PANMIG.01A.01R	TARGET.40.PANPUM.01A.01R	TARGET.40.PANSEN.01A.01R	TARGET.40.PANVJJ.01A.01R	TARGET.40.PANXSC.01A.01R	TARGET.40.PANZHX.01A.01R	TARGET.40.PANZZJ.01A.01R	TARGET.40.PAPFLB.01A.01R	TARGET.40.PAPIJR.01A.01R	TARGET.40.PAPKWD.01A.01R	TARGET.40.PAPXGT.01A.01R	TARGET.40.PARBGW.01A.01R	TARGET.40.PARDAX.01A.01R	TARGET.40.PARFTG.01A.01R	TARGET.40.PARGTM.01A.01R	TARGET.40.PARJXU.01A.01R	TARGET.40.PARKAF.01A.01R	TARGET.40.PASEBY.01A.01R	TARGET.40.PASEFS.01A.01R	TARGET.40.PASFCV.01A.01R	TARGET.40.PASNZV.01A.01R	TARGET.40.PASRNE.01A.01R	TARGET.40.PASSLM.01A.01R	TARGET.40.PASUUH.01A.01R	TARGET.40.PASYUK.01A.01R	TARGET.40.PATAWV.01A.01R	TARGET.40.PATEEM.01A.01R	TARGET.40.PATJVI.01A.01R	TARGET.40.PATKSS.01A.01R	TARGET.40.PATMIF.01A.01R	TARGET.40.PATMPU.01A.01R	TARGET.40.PATMXR.01A.01R	TARGET.40.PATPBS.01A.01R	TARGET.40.PATUXZ.01A.01R	TARGET.40.PAUBIT.01A.01R	TARGET.40.PAUTWB.01A.01R	TARGET.40.PAUTYB.01A.01R	TARGET.40.PAUUML.01A.01R	TARGET.40.PAVALD.01A.01R	TARGET.40.PAVCLP.01A.01R
Adipocytes	0	0.006	0	0.0065	0.0014	0	0.0363	0	0.0057	0.0064	0.0104	0	0	0	0.044	0	0	0	0.0024	0	9e-04	0.0011	0.0047	0	0	0.0056	0.001	0	0	0	0	0	0	0.0029	0.0042	0.0133	0.001	0	0.0015	0.0426	8e-04	0	0	0	0.0916	0	0	0.0921	0	0.0013	0.0071	0.0708	0	0	0	0	0.0045	0	0.0025	0	0.0454	0	0.0036	0.0027	0	0	0.0205	0	0	0	0	0	0	0.0043
Astrocytes	0	0.004	0	0	0	0	0	0	0	0	0.007	0.0783	0.0094	0	0	0	0	0	0.0321	0	0	0	0	0	0.0027	0	0.0063	0	0	0.0124	0	0	0	0	0	0	0	0	0.0448	0	0	0.0051	0	0	0	0	0	0	0	0	0	0.0095	0	0	0	0	0	0	0	0.023	0.0089	0	0	0	0	0.001	0	0	0	0	0	0	0	0
B-cells	0	0	0	0.0192	0	0	0	0	0	0	0	0	0	0	0	0	0.0095	0	0	0	0	0	0	0.0033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0551	0	0	0.005	0	0	0.017	0	0	0	0.0017	0	0	0	0	0.0729	0.0129	0	0	0.0598	0.0644	0	0	0	0	8e-04	0.0081	0	0	0	0	0	0.0087	0	0	0
Basophils	0.099	0.0854	0.0853	0.0916	0.0847	0	0.1554	0.1349	0.126	0.0527	0.0048	0.1816	0.0601	0.2152	0	0.2198	0	0.2505	0.0955	0.1339	0.3332	0.2264	0.2928	0.1065	0.0174	0.0651	0	0.0725	0.2457	0.0417	0.0071	0.1177	0.0215	0	0.0506	0	0.0077	0.0575	0.0692	0.037	0.0133	0.1909	0.0199	0.1285	0.0089	0.0836	0.0093	0	0.0706	0.2888	0.0519	0.0198	0.067	0.0017	0.0555	0.0546	0.094	0.2949	0.0292	0.0944	0	0.0203	0.1368	0.1367	0.0639	0.0521	0	0.2794	0.0618	0.1386	0.015	0.1069	0.0511	0
CD4+ T-cells	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD4+ Tcm	0.0095	0	0	0.0041	0	0.022	0	0.043	0.0497	0	0.0425	0	0	0	0	0	0.0042	0.0054	0	0	0.0133	0	0.021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0088	0.0057	0	0	0	0	0.019	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0257	0	0	0.0212	0	0.0303	0	0.0047	0.0048	0.0145	0.0367	0
CD4+ Tem	0.0212	0	0	0	0	0	0	0.004	0	0	0.0169	0	0	0	0	0	0	0	0	0	5e-04	0	0	0	4e-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0105	0	0	0	0.0447	0	0.0057	0.0244	0	0.0341	0.0943	0	0	0	0	0	0.0123	0	0.0051	0.0675	0.0115	0	0	0	0.0345	0.0108	0	0	0	0	0	0	0.1322	0	0	0
CD4+ memory T-cells	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.014	0	0	0.0165	0	0	0.0045	0	0.0104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0169	0.013	0	0.0144	0.0051	0	0.004	0.0022	0.0119	0.0192	0	0.0143	0.0047	0	0	0	0.0061	0.0033	0	0	0	0	0	0.0195	0	0	0
CD4+ naive T-cells	0	0	0	0	0	0.0039	0	0	0	0	0	0	0	0	0	0	0.0143	0	0	0	0	0	0	0.0028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0053	0	0	0	0	0	0	0	0	0	0.0053	0	0	0	0	0	0	0	0	0	0.0054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD8+ T-cells	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0102	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0	0	0	4e-04	0	0.0363	0.0657	0	0	0.0057	0	0	0.0111	0	0	0	0	0	0.0017	0	0.0172	0
CD8+ Tcm	0	0	0.0039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0115	0	0	8e-04	0	0	0	0	0	0	0.0778	0.0699	0	0	0	0	0	0	0	0	0	0	0	0.0165	0	0	0
CD8+ Tem	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0175	0.0361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD8+ naive T-cells	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0105	0.009	0	0	0	0	0.0144	0.0121	0.0108	0	0.0082	0	0.0205	0	5e-04	4e-04	0.001	0.0171	0	0	0	0.0016	0	0	0.0035	0.0062	0	0.0032	0	0.0155	0	0	0.013	0	0.0354	0.0335	0	0.0295	0.0337	0	0	0.0028	0.0169	0.0025	0	0	0	0.0056	0	0.0044	0
CLP	0.0112	0	0.0013	0.0162	0.0177	0.0045	0.0068	0	0	0.0015	2e-04	6e-04	0.0093	0	0.0193	0.0694	0.0023	0.0115	0.0179	0.0182	0	0.0019	0	0.0264	0.0532	0.0121	0	0.033	0.0241	0.023	0.0518	0.0092	0.0171	0.0205	0.0029	0.0304	0.0195	0.0238	0.0309	0.0294	0.0191	0.032	0.0067	0.0523	0.0097	0.0136	0.0234	0.0245	0.022	0.0079	0.0205	0.0269	0.0249	0.0088	0.0263	0.016	0.037	0.0148	0.0175	0.0422	0.0059	0.0239	9e-04	0.0185	0.0289	0.0161	0.0289	8e-04	0.0089	0	0.0135	0.0043	0.0093	0.0034
CMP	0.002	0	0	0	0.0082	0	0.0024	0	0	4e-04	0	0	0	0	0.0074	0	0.0275	0	0.0015	4e-04	0	0	0.0463	5e-04	0	0.01	0	0	0	0	0	0	0	0.0085	0	0	0.0037	0	0	0	0.0107	0	0	0	0.0064	0	0	0.0355	0	0	0.0027	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0	0	0	0	0.0063	0	0	0
Chondrocytes	0.0498	0.0543	0.0497	0.1021	0.0706	0	0.1489	0	0	0.0975	0.0277	0.0041	0.0061	0.0942	0.0963	0	0	0	0.0469	0.0137	0.0117	0	0.0078	0	0.0188	0.0689	0.0816	0	0	0.0147	0.0637	0.0622	0.0307	0.102	0.0808	0.0541	0.1329	0.0434	0	0.052	0.0719	0	0	0	0	0	0	0	0	0.1031	0.005	0.0226	0.0485	0.0971	0	0	0.0742	0	0.0672	0.0417	0.039	0	0.0154	0.0069	0.0071	0	0.0596	0	0.0377	0	0	0.161	0.0379	0
Class-switched memory B-cells	0	0.0169	0.037	0	0.0107	0.0589	0.0176	0	0.0021	0	0.0255	0	0	0	0	0.0423	0.0249	0	0	0.009	0.0238	0.0014	0.0683	0	0	0	0.0119	0	4e-04	0.0016	0	0	0.0018	0	0.0046	0.0066	0.0124	0	0	0	0.0029	0.0089	0.011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0125	0	0	0	0.0647	0	0	0	0	0	0	0	0.0434	0.0425	0	0.0606	0
DC	0.0339	0.0029	0.0068	0.0062	0	0.0065	0	4e-04	0.045	0	0.0233	0	0.0099	0	0	0	0	0	0	0	0	0	0.0313	2e-04	0.006	0	0.0229	0	0	0	0	0.0022	0	4e-04	0	0	0	2e-04	0.0315	0.0239	0.0071	3e-04	0.0237	0	0.0486	0.0055	0	0.0205	0	0	0	0.0044	0	0.0107	0.0129	0.0207	0	0.0125	0.0788	0	0	0.0422	0	0.0315	0.0036	0.0085	0	0	0	0.0112	0.0215	0	0	0.025
Endothelial cells	0.0563	0.0682	0.0084	0.0123	0	0.1231	0.0177	0.0476	0.1222	0.0412	0.2216	0	0.1383	0.0398	0	0.0162	0.0173	0.0492	0.0989	0.0616	0.0155	0.0355	0.1299	0.0145	0.0904	0.0187	0.0427	0.0193	0	0.1266	0	0.0332	0.0448	0.0315	0.0268	0.0277	0.0148	0.0058	0.0846	0.0795	0.0504	0.0026	0.118	0.0121	0.0754	0.1435	0.0361	0.1174	0.018	0.0191	0.0423	0.1116	0.0254	0.0425	0.031	0.1124	0	0	0.1346	0.0042	0.0577	0.0321	0	0.1243	0.0254	0.0578	0.0053	0.036	0.0017	0.1761	0.0497	0	0	0.0935
Eosinophils	0.0193	0.0375	0	0.0076	0.0242	0.0925	0.0074	0.065	0.0617	0.0286	0.1224	0.0151	0.0252	0.0175	0	0	0	0	0	0.0219	0.0081	0	0.0437	0	0	0	0.0017	0.0022	0	0.015	0	0	0.0039	0	0	0.0122	0	0	0.0329	0.0087	0	9e-04	0.0791	0	0.0075	0	0	0	0.0102	0.0136	0.0214	0	0.0114	0.0411	0	0	0	0	0.0034	0	0	0	0.017	0.0457	0	0	0.006	0	0.0379	0.0914	0	0.0196	0	0.0483
Epithelial cells	0.0786	0.0586	0.0063	0.0769	0.0818	0.0048	0.0471	0.0227	0.0466	0.0417	0.0376	0.0159	0.0107	0.003	0.0274	0.0685	0.0482	0.0045	0.0126	0.029	0.0211	7e-04	0.0178	0.016	0.0031	0.0026	0.0018	0.0158	0	0.0431	0.0022	0.0148	0.0512	0.0494	0.0081	0.0142	0.0081	7e-04	0.032	0.0381	0.0117	0.0186	0.0401	0.0125	0.0087	0.0292	0.0115	0.017	0.0198	0.0064	0.0036	0.0345	0	0.0046	0.01	0.0276	0.002	0.0471	0.0219	0	0.0115	0.0131	0.0387	0.0177	0.0098	0.0233	0.0322	0.0304	0.0131	0.019	0.032	0.0015	0.003	0.0209
Erythrocytes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7e-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0022	0	0	0	0	0	0.0094	0	0	0	0	0	0	0.0085	0	2e-04	0	0	0	0	0	0	0	0	0	0	0	0
Fibroblasts	0.0928	0.1127	0.0259	0	0.0855	0	0.1502	0	0	0.0154	0.0259	0.0076	0	0.0897	0.0935	0.0229	0	0	0	0.0196	0	0.0627	0.0348	0	0.0696	0.1172	0.0273	0	0	0.0102	0.0772	0.0721	0.0504	0.0379	0.1734	0.0435	0.0365	0.1163	0	0	0.0073	0	0.0257	0	0.0038	0	0.0146	0	0.0275	0.174	0.0445	0.0245	0	0.0906	0	0	0.0729	0	0.0515	0.059	0.0927	0	0.0546	0.0057	0.013	0	0.0784	0	0.2233	0.0117	0	0.0666	0.0179	0.0493
GMP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0044	0	0	0	0	0.0133	0	0	0.1318	0.0214	0	0	0.6175	0.006	0	0	0	0	0	0	0	0	0.0049	0	0	0	0	0	0	0	0	0	0.0041	0	0	0	0	0	0	0.0605	0	0	0	0	0.012	0	0.4026	0.0337	0	0	0	0	0.0062	0	0	0	0	0	0	0
HSC	0.3354	0.3817	0.1926	0.0146	0.2349	0.2461	0.225	0.0774	0.2883	0.4122	0.4464	0.1242	0.2392	0.2162	0.3117	0.1181	0.3375	0.0178	0.474	0.0851	0.109	0.1325	0.3267	0.0448	0.2061	0.3368	0.2768	0.0735	0	0.286	0.2644	0.2253	0.2657	0.3667	0.3405	0.2686	0.3087	0.345	0.1406	0.326	0.346	0.0194	0.1618	0.0267	0.1838	0.1744	0.3188	0.2043	0.0464	0.1223	0.0576	0.2182	0.4671	0.0856	0.1334	0.1408	0.0695	0.0322	0.4555	0.0726	0.6173	0.3541	0.1575	0.1545	0.1407	0.1648	0.3713	0.0575	0.2964	0.2395	0.0403	0.2402	0.0182	0.4369
Hepatocytes	0.0046	0.0034	0	0.0031	0	0	0	1e-04	9e-04	0	0.0057	0	0.0034	0.0059	0	0.0029	0	0.0022	0.0065	0.0021	0	0.0071	0.0059	0	0.0017	0	0	0	0	0.0031	0	0	0	0	0	0	0	0.0012	0	0.0034	0	1e-04	0.0032	0	0	0	0.0042	8e-04	0	0.0048	4e-04	0.0041	9e-04	0	0.0021	0	0	0	0	0	0	0	0	0.0027	0	0	0	0.0055	0.001	0.0056	0	0.0013	0	0.0016
Keratinocytes	0	0	0	0.0046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7e-04	0	0	0	0	0	0	0	0	9e-04	0	0	0	0	0	0	0	0	0	0	0	0
MEP	0.0332	0.0262	0.0406	0.0741	0.0236	0	0.0257	0	0.0068	0.0258	0.0273	0.0186	0.005	0.0119	0	0	0	0.0293	0.0054	0.0352	0.083	0	0.0405	0.0102	0.0509	0.0019	0	0.0176	0.1157	0.0112	0.0365	0.046	0.015	0.0382	0	0.0165	0.0027	0.0084	0.0093	0.0521	0.0534	0.0637	0.0231	0.0576	0.0197	0.0319	0.0071	0.018	0.0171	0	0.0074	0.0329	0.036	0	0.0299	0	0.0179	0.037	0	0	0	0.0409	0.0396	0.0252	0	0.0072	0.0171	0	0.0157	0.0042	0.0533	0.0105	0.065	0.0319
MPP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0053	0	0	0	0	0	0	0	0	0	0	0	0	0.0155	0	0	0
MSC	0.0435	0.0941	0.1744	0.1269	0.4095	0.5094	0.0491	0.1979	0.5215	0.4407	0	0.1381	0.1441	0.278	0.3399	0.3841	0.5149	0.2552	0.1231	0.1826	0.123	0.0483	0.2008	0.4652	0.005	0.2424	0.0148	0.1898	0.5234	0.0403	0.0721	0	0.2626	0.2268	0.462	0.1541	0.2209	0.3225	0.0561	0.0955	0.275	0.0812	0.2342	0	0	0.3473	0.0568	0.1126	0.0257	0.2092	0.0375	0.0512	0	0.3051	0.0795	0.4223	0.0804	0.2471	0.0408	0.0537	0	0.5755	0.3435	0.1281	0.0097	0.0535	0.0361	0.0803	0.2938	0.2009	0.4113	0.1824	0.4032	0.2954
Macrophages	0.0612	0.0042	0.0099	0.0035	0	0.0058	0	0	0.0318	0	0.0678	0.0158	0.0388	0.0175	0	0.0342	0.0304	0.0424	0.0308	0.0544	0.0262	0	0.0248	0.0273	0	0.0137	0.0439	0.0387	0	0.0275	0	0.028	0.0255	0.0517	0	0	0.008	0.0017	0.0764	0.0921	0.0713	0.0434	0.1033	0	0.0595	0.0182	0	0.0295	0.0384	0	0.036	0.052	0	0.1244	0.0499	0.0369	0	0.0394	0.1011	0	0	0.0134	0	0.0842	7e-04	0.002	0.0462	0	0.0068	0.0571	0.03	0	0	0.0588
Macrophages M1	0.0407	0.0032	0.027	0.0087	0.0033	3e-04	0.0023	0.0084	0.0213	0	0.0354	0.0384	0.0333	0.0106	0.001	0.0066	0.0215	0.0147	0.0063	0.0238	0.0292	0.0031	0.0218	0.0298	0.0106	0.0136	0.0167	0.0151	0	0.0264	0	0.0221	0.009	0.0234	0.0082	0	0.0203	0.0071	0.0306	0.0351	0.0457	0.0365	0.0498	0.0013	0.0311	0.0118	0.0031	0.0145	0.0022	0	0.0154	0.031	0	0.0486	0.0295	0.039	0	0.0372	0.0473	0.002	5e-04	0.0042	8e-04	0.0437	0.0156	0.0116	0.0139	0.0163	0.0253	0.0268	0.0243	0.0011	0	0.0376
Macrophages M2	0.0403	0.005	0.0215	4e-04	0.0036	0.0719	0.0065	0.0296	0.0682	0	0.0924	0.01	0.0417	0.0551	0.0138	0.0334	0.0067	0.0052	0.095	0.0154	0.0408	0.0049	0.0421	0.0407	0.0335	0.0125	0.0373	0.0055	0.0192	0.0202	0.0027	0.0138	0.0338	0.0151	0.0082	0	0.0214	0.0635	0.0734	0.0872	0.0587	0.028	0.0667	0.0016	0.1006	0.0344	0.011	0.0245	0.02	0.006	0.0041	0.0512	0	0.1109	0.0742	0.0353	0	0.0571	0.0785	0.0181	0.0226	0.0268	0	0.0819	0.0044	0.0014	0.0164	0.0019	0.0258	0.0708	0.0511	0	0	0.0397
Mast cells	0.01	0.0029	0	0.001	0	0	0	0	0.0024	0	0	0	0	0	0	0.0122	0	0.0042	0	0	9e-04	0	0	0	0	0	0	0.0023	0	0	0	0	0	0	0	0	0.0018	0	0	0	0	0.003	0.0028	0.0081	8e-04	0	0	0	0.0074	0	0.0037	0	5e-04	0.0064	0.001	0	0.0017	0	0	9e-04	0	0	0.0014	0	0.0052	0	0	0.0069	3e-04	7e-04	0	0	0.0083	0
Megakaryocytes	0.0181	0.0309	0.0101	0.0199	0.0207	0.0232	0.0038	0.0579	0.0327	0.0425	0.0165	0	0.0246	0.0158	0.0072	0	0.0533	0.0357	0.0297	0.0185	0.0013	0	0.0062	0.0298	0.0068	0.0091	0	6e-04	2e-04	0.0504	0	0.0183	0.0099	0.0028	0.0112	0.0191	0.0188	0.0052	0.0307	0.0506	0.0158	0.0033	0.0275	0.0247	0.0445	0.0402	0.0271	0.0387	0.0236	0.031	0	0.015	0.0331	0.0331	0.0136	0.0741	7e-04	0.0015	0.0603	0.0069	0.0395	0.0141	0.0019	0.0279	0.0102	0.0427	0.0051	0.0039	0	0.0288	0.0041	0	0	0.0479
Melanocytes	0.0071	0.0035	0.0174	0.0132	0.0101	0.0127	0.0177	0.0418	0.0335	0.0188	0.0185	0.0322	0.0139	0.0294	0.0425	0.0137	0.0209	0.0163	0.0213	0.0269	0.0129	0.0106	0.0092	0.023	0.0203	0.0324	0.0105	0.0255	0.0055	0.0149	0.0098	0.0122	0.0295	0.014	0.0401	0.0096	0.0275	0.0223	0.0085	0.0244	0.0218	0.0108	0.014	0.0079	0.0465	0.0307	0.0265	0.0246	0.0191	0.0345	0.0254	0.0251	0	0.0243	0.0318	0.0183	0.0211	0.0185	0.0257	0.0014	0.0361	0.001	0.0336	0.0145	0.0099	0.0172	0.0196	0.0276	0.05	0.0167	0.033	0.0251	0.0235	0.0305
Memory B-cells	0.0097	0	0	0.0193	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0146	0	0	0	0	0	0.0288	0	0	0	0	0.0117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.017	0	0	0	0	0	0	0	0	0	0.0266	0	0	0	5e-04	0	0	0	0	0	0	0	0	0	0.0131	0	0	0	0	0	0
Mesangial cells	0.0299	0.0319	0	0	0	0.0106	0.0419	0.0131	0.0079	0	0.0184	0.0306	0	0.0054	0	0.0123	0	0	0.0074	0	0	0	0.0633	0	0.0164	0	0	0	0	0.0212	0	0.0132	0	0	0.001	0	0	0	0.0236	0	0	0.0096	0.0097	0.0088	1e-04	0	0	0	0	0.0349	0.0076	0	0	0	0.0143	0	0.0126	0.0028	0.0044	0	0	0	0	0	9e-04	0	0	0.0202	0	0.0043	0	0	0	0
Monocytes	0.0788	0	0.0131	0	0.0083	0.0382	0	0	0.0518	0	0.0666	0	0.0488	0	0	0.0463	0.0113	0	0.0298	0.0413	0	0	0.0773	0.0586	0.0319	0.0087	0.0615	0	0	0.0471	0	0.004	0.0242	0.0311	0.0174	0	0.0214	0.0086	0.0849	0.0638	0.0642	0.041	0.0774	0	0.0775	0.0476	0.0035	0.065	0	0	0	0.0438	0	0.1269	0.0584	0.064	0	0.0209	0.1039	0.0185	0.0031	0.0491	0	0.0836	0.02	0.0185	0	0	0.0234	0.0613	0.038	0	0	0.0234
