	TARGET.40.0A4HMC.01A.01R	TARGET.40.0A4HX8.01A.01R	TARGET.40.0A4HXS.01A.01R	TARGET.40.0A4HY5.01A.01R	TARGET.40.0A4I0Q.01A.01R	TARGET.40.0A4I0W.01A.01R	TARGET.40.0A4I3S.01A.01R	TARGET.40.0A4I42.01A.01R	TARGET.40.0A4I48.01A.01R	TARGET.40.0A4I4E.01A.01R	TARGET.40.0A4I4M.01A.01R	TARGET.40.0A4I4O.01A.01R	TARGET.40.0A4I5B.01A.01R	TARGET.40.0A4I65.01A.01R	TARGET.40.0A4I6O.01A.01R	TARGET.40.0A4I8U.01A.01R	TARGET.40.0A4I9K.01A.01R	TARGET.40.PAKFVX.01A.01R	TARGET.40.PAKZZK.01A.01R	TARGET.40.PALECC.01A.01R	TARGET.40.PALHRL.01A.01R	TARGET.40.PALKDP.01A.01R	TARGET.40.PALKGN.01A.01R	TARGET.40.PALWWX.01A.01R	TARGET.40.PALZGU.01A.01R	TARGET.40.PAMHLF.01A.01R	TARGET.40.PAMHYN.01A.01R	TARGET.40.PAMJXS.01A.01R	TARGET.40.PAMLKS.01A.01R	TARGET.40.PAMRHD.01A.01R	TARGET.40.PAMTCM.01A.01R	TARGET.40.PAMYYJ.01A.01R	TARGET.40.PANGPE.01A.01R	TARGET.40.PANGRW.01A.01R	TARGET.40.PANMIG.01A.01R	TARGET.40.PANPUM.01A.01R	TARGET.40.PANSEN.01A.01R	TARGET.40.PANVJJ.01A.01R	TARGET.40.PANXSC.01A.01R	TARGET.40.PANZHX.01A.01R	TARGET.40.PANZZJ.01A.01R	TARGET.40.PAPFLB.01A.01R	TARGET.40.PAPIJR.01A.01R	TARGET.40.PAPKWD.01A.01R	TARGET.40.PAPXGT.01A.01R	TARGET.40.PARBGW.01A.01R	TARGET.40.PARDAX.01A.01R	TARGET.40.PARFTG.01A.01R	TARGET.40.PARGTM.01A.01R	TARGET.40.PARJXU.01A.01R	TARGET.40.PARKAF.01A.01R	TARGET.40.PASEBY.01A.01R	TARGET.40.PASEFS.01A.01R	TARGET.40.PASFCV.01A.01R	TARGET.40.PASNZV.01A.01R	TARGET.40.PASRNE.01A.01R	TARGET.40.PASSLM.01A.01R	TARGET.40.PASUUH.01A.01R	TARGET.40.PASYUK.01A.01R	TARGET.40.PATAWV.01A.01R	TARGET.40.PATEEM.01A.01R	TARGET.40.PATJVI.01A.01R	TARGET.40.PATKSS.01A.01R	TARGET.40.PATMIF.01A.01R	TARGET.40.PATMPU.01A.01R	TARGET.40.PATMXR.01A.01R	TARGET.40.PATPBS.01A.01R	TARGET.40.PATUXZ.01A.01R	TARGET.40.PAUBIT.01A.01R	TARGET.40.PAUTWB.01A.01R	TARGET.40.PAUTYB.01A.01R	TARGET.40.PAUUML.01A.01R	TARGET.40.PAVALD.01A.01R	TARGET.40.PAVCLP.01A.01R
Sebocytes	0.0031	0.0047	0.0101	0.0034	0.022	0.0079	0.0012	0.0086	0.0021	0.0129	0.0034	0.0029	0.0034	0.0059	0.0108	0.0126	0.0045	0.0116	0.0083	0.005	0.0041	0	0.0306	0.0049	0.0045	0.01	0.0096	0.0133	0	0.0087	0.0104	0.0112	0.0119	0.0111	0.0049	0.0038	0.0152	0.0085	0.0071	0.013	0.0074	0.0014	0.0068	0.0082	0	0.0101	0.0093	0.0099	0.0106	0.0023	0.0055	0.0116	0	0.0158	0.0068	0.0088	0.0022	0	0.0215	0.0014	0.0148	0	0.0253	0.012	0.0141	0.0151	0.0063	0.0059	0.0204	0.0031	0.0101	0.0033	0.0037	0.0106
Skeletal muscle	0.0361	0.0133	0.2083	0.1004	0	0	0.0168	0.0612	0.0247	0.1798	0.0417	0.0085	0.0164	0.0263	0	0	0.0211	0.029	0.0582	0.0295	0.017	0.0021	0.0034	0	0.0295	0	0.0206	0.0232	0	0.0388	0	0.3028	0.0073	0.0241	0.0014	0.002	0	0	0	0.0192	0.0076	0.0045	0.0106	0.039	0.011	0.0193	0.0383	0.0627	0.0426	0	0.0238	0.0379	0.2829	0	0.0307	0.0169	0.0814	0.0105	0.2859	0.2275	0.0045	0.0192	0.0043	0.0317	0.0325	0.2894	0.0249	0.1221	0	0.0568	0.0558	0	0	0
Smooth muscle	0	0.0316	0.0643	0.0062	0.0256	0	0.091	0.049	0	0	0.0493	0	0	0	0.0251	0	0.0321	0.0089	0.0472	0.0366	0.0415	0.1192	0	0	0.1056	0.0752	0.1746	0.1022	0	0.0315	0.1493	0.0131	0.0691	0.0953	0.0507	0.1306	0.1017	0.1628	0.0719	0.0777	0.0831	0.0367	0	0.1522	0.1307	0	0.1504	0.129	0.2249	0	0.1578	0.1146	0.0963	0.113	0.1037	0	0.0501	0	0.0481	0.1022	0.1658	0	0.0264	0.0209	0.1666	0.0459	0.1525	0.0205	0	0	0	0	0.0168	0
Tgd cells	0	0	0	0	0	0	0	0	0	0	0	0	1e-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Th1 cells	0	0.0059	0	0.0243	0.0043	0	0	0	0.0013	0.0106	0	0	0	0	0	0.0023	0	0.0054	0	0	0.0534	0	0.0354	0.0017	0	0	0.0044	0	0.0175	0	0	0.0199	0	0	0	0.0064	0	0	0	0	0	0.0283	0	0.0071	0	0	0	0	0.0019	0	0	0	0.0045	0	0	0	0.0065	0.0211	0	0	0	0.0196	0	0.0116	0	0	0	0	0	0	0.0392	0	0	0
Th2 cells	0	0	0	0.0348	0.0076	0.0181	0.0876	0	0	0.0196	0.0666	0.0349	0.0171	0.0511	5e-04	0	0	0.0543	0.0015	0.0252	0.0377	0.142	0	0.0933	0.1522	0.0512	0.0175	0.0628	0.1961	0.0054	0.182	0.004	0.0461	0.0185	0.002	0.0144	0.0393	0.0276	0.0185	0.0649	0.111	0.065	0	0.1167	0.0254	0.0416	0.1132	0.0939	0.0316	0	0.054	0.0572	0.0245	0.0306	0.0831	0.0566	0.0365	0.0554	0.0438	0.094	0.0374	0.038	0.0665	0.0228	0.0994	0.0775	0.0382	0.0045	0.0521	0	0.0353	0.0632	0.1498	0.0282
Tregs	0.0019	0	0.0522	0.0053	0	0.0103	0	0	0	0.033	0	0	0.0072	0	0	0.0618	0	0	0	0.0038	0.006	0	0	0.0036	0	0	0	0	0	0.0358	0.0853	0	0	0	0.0181	0	0	0	0	0	0	0.0546	0.0129	0.003	0.0019	0.0318	0.0351	0	0	0.0384	0	0	0	0.0342	0	0.0791	8e-04	0.0074	0	0	0	4e-04	0.0159	0.0568	0.0177	0	0	0	0.0696	0.0093	0	0	0	0
aDC	0.5069	0.3552	0.434	0.2201	0.2706	0.4717	0.0558	0.2605	0.5933	0.1353	0.6616	0.2558	0.6038	0.2479	0.2557	0.3582	0.3036	0.0569	0.3888	0.2699	0.3686	0.1005	0.3396	0.3717	0.4057	0.353	0.4206	0.0525	0.2263	0.3456	0.0171	0.2279	0.2421	0.2493	0.3269	0.0937	0.2817	0.4229	0.4497	0.4725	0.4986	0.3726	0.4713	0.1594	0.3976	0.5296	0.2671	0.3719	0	0.1571	0.0864	0.4634	0	0.5541	0.5417	0.6017	0.0576	0.6229	0.594	0.2187	0.2397	0.39	0.0225	0.6102	0.3761	0.3416	0.1164	0.1786	0.4409	0.4603	0.6248	0.081	0	0.5008
cDC	0.0089	0.062	0.0188	0.0235	0.0065	0.1652	0.0053	0	0.0681	0.0037	0.0539	0	0.0025	0	0.0163	0.0057	0.1993	0	0.004	0.0175	0	0	0.0818	0.0284	0.0052	0.0127	0.0324	0	0.0082	0.014	0.017	0	0.0164	0.0791	0.0038	0.0267	0.0206	0.0335	0.0679	0.0128	0.0157	0.0182	0.0308	0	0.1228	0.0217	0.0169	0.0358	0.0035	9e-04	0.0402	0.0051	0.0501	0.0418	0.0224	0.0275	0.028	0	0.1558	0	0.0404	0.0392	0.0138	0.0469	0.0078	0.0697	0.0041	0	0.0079	0.0618	0.0202	0.006	0.0287	0.0765
iDC	0.3652	0.0297	0	0.0957	0.1911	0	0.1897	0	0.3169	0.0018	0.047	0	0	0	0	0	0	0.0243	0.2006	0	0	0.1163	0.8241	0	0	0.0675	0.0819	0	0	0	0.0608	0.1678	0	0.2987	0	0.0086	0	0	0.3407	0.1428	0.1223	0.0248	0.2239	0	0.4703	0	0	0.4461	0	0	0	0	0.1179	0.0714	0	0	0	0	0.7277	0.1658	0	0.5632	0	0.251	0	0	0	0	0	0.0873	0	0	0.0963	0.2124
ly Endothelial cells	0.032	0.0509	0.0042	0.0077	0	0.0744	0.0087	0.0277	0.1108	0.0373	0.1528	0	0.0726	0.0185	0	0.0195	0.0079	0.0171	0.0507	0.0346	0.0056	0.0108	0.0735	0.0018	0.0419	0.0069	0.0087	0.007	0.0032	0.0645	0	0.0114	0.0258	0.0126	0.0066	0.0108	0	0.0014	0.0387	0.037	0.0207	0	0.0647	0.0041	0.025	0.0844	0.0173	0.058	0.0069	0.0104	0.0095	0.0468	0.0049	0.0124	0.011	0.0474	0	0	0.067	0.0026	0.012	0.0216	0	0.0646	0.0107	0.0234	0.001	0.0072	0	0.1242	0.0461	0	0	0.0582
mv Endothelial cells	0.0368	0.0287	0.001	0.0057	0	0.0578	0.0098	0.0166	0.0804	0.0268	0.1127	5e-04	0.0695	0.0153	0	0.0085	0	0.0239	0.0387	0.0277	0.0165	0.0103	0.1081	0.0091	0.0438	0.0092	0.0119	0.0087	0.0054	0.0449	0	0.0139	0.0127	0.0095	0.0066	0.0133	0	0.001	0.0434	0.0332	0.0198	0.0022	0.063	0.0037	0.0288	0.0602	0.0077	0.0509	0.0073	8e-04	0.0112	0.0455	0.0087	0.0182	0.0115	0.0396	0	0.0011	0.054	0.0028	0.0116	0.0273	0	0.0589	0.0106	0.0137	0	0.0205	0.0039	0.1009	0.0375	0	0	0.0411
naive B-cells	0	0	0	0	0	0	0.0035	0	0	0	0	0	0	0	0	0	0	0.0117	0	0	0	0	0	0	0	0	0	0	0.0029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0044	0	0	9e-04	0.014	0	0	0	0	0	0	0	0	0	0	0	0	5e-04	0	0	0
pDC	0.1301	0	0.0295	0.023	0	0.008	0	0.0411	0	0	0.0145	2e-04	0.0356	0.1226	0	0.0697	0	0.0682	0	0.1361	0.0164	0.0089	0	0.0145	3e-04	0	0.019	0.0806	0.0025	0.035	0.0188	0.3877	0.0037	0.2704	0	0	0	0.0051	0.0516	0.0583	0	0.0395	0.0699	0.0417	0.0525	0.0294	0.0018	0	0.0665	0	0.0445	0.0761	0	0.0373	0.041	0.1799	0.0015	0.2012	0.2838	0	0	0	0	0.3044	0.0611	0.0107	0.3037	0.0038	0	0.0314	0.08	0	8e-04	0.0017
pro B-cells	0	0	0	0.0298	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0386	0	0	0.0357	0	0	0	0	0	0	0.0108	0.0519	0	0	0	0	0	0	0	0	0	0	0	0	0.0128	0	0.0377	0	0	0	0	0.0237	0	0	0	0	0	0	0	0.006	0.0078	0	0.012	0	0	0.0056	0	0.0076	0	0	0.0137	0	0	0.0299	0	0.0139	0
ImmuneScore	0.1355	0.0329	0.0199	0.0348	0.0245	0.0953	0.0089	0.0436	0.1285	0.0194	0.1867	0.0206	0.0818	0.0273	0	0.0618	0.0341	0.0311	0.0404	0.0784	0.0235	0	0.1217	0.0667	0.0253	0.0176	0.0867	0.0297	0	0.0597	6e-04	0.0233	0.0376	0.0555	0.0145	0.0081	0.0237	0.0111	0.194	0.1257	0.0981	0.0624	0.1909	0.0057	0.1406	0.0475	0.0043	0.0787	0.0398	0.0091	0.048	0.0727	0.0088	0.2564	0.0901	0.0813	0.0011	0.1126	0.2782	0.0137	0.0021	0.0736	0.0123	0.1639	0.0337	0.0193	0.0379	0.0046	0.0456	0.1478	0.0756	0.0131	0.017	0.1037
StromaScore	0.0746	0.0934	0.0172	0.0094	0.0434	0.0616	0.1021	0.0238	0.064	0.0315	0.129	0.0038	0.0692	0.0648	0.0688	0.0195	0.0086	0.0246	0.0506	0.0406	0.0082	0.0496	0.0847	0.0072	0.08	0.0707	0.0355	0.0096	0	0.0684	0.0386	0.0526	0.0476	0.0362	0.1022	0.0422	0.0262	0.061	0.043	0.061	0.0292	0.0013	0.0718	0.006	0.0854	0.0718	0.0254	0.1048	0.0228	0.0972	0.047	0.1034	0.0127	0.0666	0.0155	0.0562	0.0387	0	0.0943	0.0316	0.0979	0.016	0.0291	0.0663	0.0192	0.0289	0.0521	0.018	0.1125	0.0939	0.0248	0.0333	0.009	0.0736
MicroenvironmentScore	0.21	0.1263	0.037	0.0442	0.0679	0.1569	0.111	0.0674	0.1924	0.0509	0.3157	0.0244	0.151	0.092	0.0688	0.0814	0.0428	0.0557	0.091	0.119	0.0317	0.0496	0.2064	0.074	0.1053	0.0884	0.1222	0.0393	0	0.1281	0.0392	0.0759	0.0852	0.0916	0.1167	0.0504	0.0498	0.0721	0.237	0.1867	0.1274	0.0637	0.2627	0.0117	0.226	0.1193	0.0296	0.1834	0.0626	0.1063	0.0949	0.1761	0.0215	0.323	0.1056	0.1375	0.0398	0.1126	0.3725	0.0453	0.1	0.0896	0.0414	0.2302	0.0529	0.0482	0.09	0.0226	0.1581	0.2417	0.1004	0.0464	0.026	0.1772
