#1.2																																																																							
3	70																																																																						
NAME	Description	TARGET.30.PAITCI.01	TARGET.30.PAITEG.01	TARGET.30.PAIVHE.01	TARGET.30.PALBFW.01	TARGET.30.PALCBW.01	TARGET.30.PALETP.01	TARGET.30.PALIIN.01	TARGET.30.PALNVP.01	TARGET.30.PALTEG.01	TARGET.30.PALUYS.01	TARGET.30.PALWVJ.01	TARGET.30.PALXTB.01	TARGET.30.PAMYCE.01	TARGET.30.PANBJH.01	TARGET.30.PANBSP.01	TARGET.30.PANKFE.01	TARGET.30.PANNMS.01	TARGET.30.PANRHJ.01	TARGET.30.PANRRW.01	TARGET.30.PANRVJ.01	TARGET.30.PANUIF.01	TARGET.30.PANWRR.01	TARGET.30.PANYGR.01	TARGET.30.PANZPV.01	TARGET.30.PANZVU.01	TARGET.30.PAPBGH.01	TARGET.30.PAPBZI.01	TARGET.30.PAPEAV.01	TARGET.30.PAPHPE.01	TARGET.30.PAPKXS.01	TARGET.30.PAPLSD.01	TARGET.30.PAPUAR.01	TARGET.30.PAPUEB.01	TARGET.30.PAPUWY.01	TARGET.30.PAPVFD.01	TARGET.30.PAPVXS.01	TARGET.30.PARACS.01	TARGET.30.PARBGP.01	TARGET.30.PARDIW.01	TARGET.30.PARFWB.01	TARGET.30.PARGKK.01	TARGET.30.PARHAM.01	TARGET.30.PARHAM.02	TARGET.30.PARKGJ.01	TARGET.30.PARSBI.01	TARGET.30.PARYNK.01	TARGET.30.PARZIP.01	TARGET.30.PASFGG.01	TARGET.30.PASMNT.01	TARGET.30.PASNEF.01	TARGET.30.PASPER.01	TARGET.30.PASRFS.01	TARGET.30.PASSRS.01	TARGET.30.PASTCN.01	TARGET.30.PASTKC.01	TARGET.30.PASUCB.01	TARGET.30.PASUYG.01	TARGET.30.PASWIJ.01	TARGET.30.PASXHE.01	TARGET.30.PASXRJ.01	TARGET.30.PASYPX.01	TARGET.30.PATCFL.01	TARGET.30.PATDXC.01	TARGET.30.PATFCY.01	TARGET.30.PATGLU.01	TARGET.30.PATHVK.01	TARGET.30.PATINJ.01	TARGET.30.PATNKP.02	TARGET.30.PATYIL.01	TARGET.30.PATYIL.02
StromalScore	StromalScore	-654.904382334673	820.328751500182	-350.31498861814	-624.265618204163	474.698121302446	-890.806371347928	-1247.9429193686	-1729.57429231791	-407.060580488862	-1225.56575221231	-658.862706178169	-740.304450719637	-325.970555990591	-1296.88398528046	-1842.47329212125	444.104833814177	-1308.32702901205	-726.295729122342	-911.432530441893	234.885522020479	-533.565493374314	-1558.4594861288	-1447.80848030864	-495.297838458104	-678.765537537393	-1183.38946843882	-1476.66742800063	-1341.61792941353	-1411.98263473942	-1868.33354027594	-397.556087062993	-970.590239770698	-1014.7472994402	-505.469265977774	-1442.85084173767	-434.726219997658	-1009.87352650533	-1243.47863001887	-1129.88043568115	-1586.47859325046	-1146.61450794361	-952.314049158357	-1247.68577327172	461.942606069488	-243.045985305549	-1404.69009626674	-1715.15071153756	-463.768190050028	-1763.5236754245	-1636.77033206967	-1626.07343994796	-983.64981450747	-1447.44486637818	-933.970647566703	-176.011733828139	-1684.63190959732	-1368.20008385282	-434.054519579385	-1350.99031958665	-801.929520280607	-1151.60140333278	-1107.16894058504	-557.836500143818	-1413.87192036166	-903.008436136485	-1094.31569529882	-1042.07658594117	-2073.58152396432	-1653.11765426238	-1067.4927203286
ImmuneScore	ImmuneScore	-438.162364167147	1346.1793198878	345.706596910494	-349.478015410272	279.022162820437	105.512299512128	473.464914684451	-1733.96210247437	477.344884975327	-211.657592136319	-753.097909864116	19.7111885922899	-111.320620047039	-1550.75933847419	-2111.32536023823	1050.70654900003	-95.8042979942744	-772.02940939574	206.742307328334	-281.738523845765	-257.973313031722	-1914.07990165614	-1432.9503334889	-588.372914496597	147.221209639367	-1811.14658833391	-1587.04405965658	-610.505019759639	-1125.59230082889	-1037.48739839739	-77.8422099120041	598.558024772538	645.837881883449	1111.82675671371	-121.899608788621	814.688902352751	-159.528323613555	-137.555464275114	616.697636946314	-485.22337621378	-789.461615622034	-1219.00909352323	-1336.35753095995	687.988237415675	919.097076353397	-110.372551649613	-358.427147780827	958.877246686948	-998.484424821607	-797.957648887683	-779.417558501056	836.54138895531	-1997.36240692709	-516.523980516422	70.4844448671215	-1785.34747834064	-1573.67650478865	572.172145431134	-579.53500918189	835.146054935032	555.956376499014	-1095.02858572167	780.59063398119	-1440.03174720334	-349.805353166315	-1095.42364381516	-296.338427971073	-1868.99080145975	-1564.97659725934	-880.420523943124
ESTIMATEScore	ESTIMATEScore	-1093.06674650182	2166.50807138799	-4.60839170764666	-973.743633614435	753.720284122883	-785.2940718358	-774.478004684145	-3463.53639479228	70.2843044864642	-1437.22334434863	-1411.96061604228	-720.593262127347	-437.291176037631	-2847.64332375465	-3953.79865235948	1494.81138281421	-1404.13132700633	-1498.32513851808	-704.690223113559	-46.8530018252859	-791.538806406037	-3472.53938778494	-2880.75881379753	-1083.6707529547	-531.544327898026	-2994.53605677273	-3063.71148765721	-1952.12294917316	-2537.57493556831	-2905.82093867333	-475.398296974997	-372.03221499816	-368.909417556747	606.357490735934	-1564.75045052629	379.962682355093	-1169.40185011889	-1381.03409429398	-513.182798734834	-2071.70196946424	-1936.07612356565	-2171.32314268159	-2584.04330423168	1149.93084348516	676.051091047848	-1515.06264791636	-2073.57785931838	495.10905663692	-2762.0081002461	-2434.72798095736	-2405.49099844902	-147.108425552161	-3444.80727330527	-1450.49462808312	-105.527288961018	-3469.97938793796	-2941.87658864147	138.117625851749	-1930.52532876854	33.2165346544249	-595.64502683377	-2202.19752630671	222.754133837372	-2853.90366756499	-1252.8137893028	-2189.73933911398	-1338.41501391224	-3942.57232542407	-3218.09425152171	-1947.91324427172
