"K"	"PAC_REAL"	"PAC_REF"	"RCSI"	"MONTECARLO_P"	"BETA_P"	"P_SCORE"
"1"	2	0.282815734989648	0.369995859213251	0.268696241793854	0.376237623762376	0.334217602064912	0.475970681078312
"2"	3	0.417805383022774	0.414298136645963	-0.00842988177186599	0.534653465346535	0.523176513633995	0.281351760532606
"3"	4	0.393374741200828	0.401652173913043	0.0208237775713505	0.455445544554455	0.455441359434131	0.341567532881164
"4"	5	0.363975155279503	0.364571428571429	0.00163688482872626	0.514851485148515	0.501847027447745	0.299428643929975
"5"	6	0.304761904761905	0.324848861283644	0.0638292003355629	0.346534653465347	0.314219881672397	0.502766339259632
"6"	7	0.2351966873706	0.289134575569358	0.206470107519664	0.0792079207920792	0.0536871566212162	1.27012959652876
"7"	8	0.198343685300207	0.258091097308489	0.263311302636492	0.0198019801980198	0.0131684574477013	1.88046509528781
"8"	9	0.179296066252588	0.233225672877847	0.262968097046621	0.0198019801980198	0.0125391581423513	1.90173162031587
"9"	10	0.159006211180124	0.212621118012422	0.290568527628999	0.0099009900990099	0.00743686383399908	2.1286101701979
