"K"	"PAC_REAL"	"PAC_REF"	"RCSI"	"MONTECARLO_P"	"BETA_P"	"P_SCORE"
"1"	2	0.810766045548654	0.664053830227743	-0.199616320175355	0.861386138613861	0.854477004702029	0.0682996203222924
"2"	3	0.568530020703934	0.582575569358178	0.0244047911655875	0.415841584158416	0.43156721051711	0.364951559430374
"3"	4	0.469565217391304	0.496989648033126	0.056761999789352	0.366336633663366	0.334049825992069	0.476188750136007
"4"	5	0.397515527950311	0.424621118012422	0.065963286926587	0.297029702970297	0.287559415934961	0.541272407159825
"5"	6	0.339958592132505	0.367320910973085	0.0774120604474	0.247524752475248	0.233840151599029	0.631080916096564
"6"	7	0.298550724637681	0.322811594202899	0.078129003175373	0.237623762376238	0.23517679160232	0.628605538787932
"7"	8	0.263354037267081	0.289229813664596	0.0937222988621447	0.237623762376238	0.209057188404349	0.679734894697307
"8"	9	0.255900621118012	0.26047619047619	0.0177222873394489	0.455445544554455	0.448608727860745	0.348132281299445
"9"	10	0.244306418219462	0.237391304347826	-0.0287133969854281	0.613861386138614	0.609129353129848	0.215290471923365
